iter	Passed	Remaining
588	9586	6689
589	9606	6675
590	9625	6661
591	9647	6649
592	9669	6636
593	9690	6623
594	9711	6610
595	9735	6599
596	9754	6584
597	9771	6568
598	9789	6553
599	9804	6536
600	9820	6519
601	9835	6502
602	9852	6486
603	9869	6470
604	9889	6457
605	9911	6444
606	9930	6429
607	9949	6414
608	9962	6396
609	9978	6379
610	9994	6363
611	10008	6345
612	10025	6329
613	10039	6311
614	10052	6292
615	10068	6276
616	10085	6260
617	10102	6244
618	10117	6227
619	10134	6211
620	10148	6193
621	10164	6176
622	10178	6159
623	10193	6142
624	10206	6123
625	10221	6107
626	10234	6088
627	10249	6071
628	10264	6054
629	10278	6036
630	10296	6021
631	10314	6005
632	10329	5988
633	10346	5972
634	10358	5954
635	10372	5936
636	10388	5919
637	10400	5901
638	10415	5884
639	10429	5866
640	10443	5848
641	10456	5830
642	10472	5814
643	10599	5859
644	10631	5851
645	10653	5837
646	10669	5821
647	10693	5808
648	10713	5794
649	10730	5777
650	10745	5760
651	10759	5742
652	10774	5725
653	10788	5707
654	10803	5690
655	10821	5674
656	10834	5656
657	10849	5639
658	10862	5620
659	10871	5600
660	10886	5583
661	10898	5564
662	10912	5546
663	10927	5529
664	10940	5511
665	10955	5494
666	10967	5475
667	10982	5458
668	10998	5441
669	11012	5424
670	11028	5407
671	11041	5389
672	11055	5371
673	11071	5354
674	11084	5337
675	11097	5318
676	11109	5300
677	11126	5284
678	11145	5268
679	11158	5251
680	11172	5233
681	11187	5216
682	11203	5199
683	11219	5183
684	11238	5167
685	11251	5150
686	11266	5133
687	11280	5115
688	11293	5097
689	11310	5081
690	11325	5064
691	11340	5047
692	11355	5030
693	11368	5012
694	11383	4995
695	11399	4978
696	11415	4962
697	11432	4946
698	11449	4930
699	11470	4915
700	11488	4900
701	11505	4884
702	11523	4868
703	11542	4853
704	11562	4838
705	11580	4822
706	11597	4806
707	11616	4791
708	11636	4776
709	11656	4761
710	11676	4746
711	11690	4728
712	11706	4711
713	11722	4695
714	11737	4678
715	11752	4661
716	11767	4644
717	11782	4627
718	11797	4610
719	11814	4594
720	11835	4579
721	11850	4562
722	11863	4545
723	11880	4528
724	11892	4510
725	11907	4493
726	11921	4476
727	11936	4459
728	11950	4442
729	11965	4425
730	11981	4409
731	11998	4392
732	12016	4376
733	12033	4361
734	12050	4344
735	12068	4329
736	12087	4313
737	12106	4297
738	12126	4282
739	12140	4265
740	12152	4247
741	12169	4231
742	12181	4213
743	12197	4196
744	12211	4179
745	12228	4163
746	12242	4146
747	12255	4128
748	12272	4112
749	12285	4095
750	12300	4078
751	12313	4060
752	12325	4043
753	12341	4026
754	12354	4009
755	12369	3992
756	12384	3975
757	12396	3957
758	12412	3941
759	12425	3923
760	12442	3907
761	12458	3891
762	12473	3874
763	12491	3858
764	12508	3842
765	12524	3825
766	12542	3810
767	12555	3792
768	12570	3775
769	12583	3758
770	12599	3742
771	12617	3726
772	12632	3709
773	12649	3693
774	12665	3677
775	12677	3659
776	12691	3642
777	12707	3625
778	12720	3608
